interaction,topology,amplitude,squared_amplitude
A_\lambda_11473(X)  A_\tau_12425(X)  to  AntiPart b_alpha_8981(X)^(*)  b_beta_4591(X),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , b ( INDEX_[ID] ) , AntiPart OffShell b ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart b ( INDEX_[ID] ) , OffShell b ( INDEX_[ID] ) ,","-1/18*i*e^2*(p_2_%\nu_11742*gamma_{+%\nu_11742,%gam_23109,%gam_23110}*gamma_{%\tau_12682,%gam_23110,%del_13641}*gamma_{%\tau_12684,%gam_23084,%gam_23109}*A_{l_3495,+%\tau_12684}(p_2)*A_{k_3495,+%\tau_12682}(p_1)*b_{j_3497,%gam_23084}(p_4)_u^(*)*b_{i_3497,%del_13641}(p_3)_v + (-2)*p_4_%\tau_12684*gamma_{%\tau_12682,%gam_23092,%del_13646}*A_{l_3495,+%\tau_12684}(p_2)*A_{k_3495,+%\tau_12682}(p_1)*b_{j_3497,%gam_23092}(p_4)_u^(*)*b_{i_3497,%del_13646}(p_3)_v)/(s_13 + -1/2*reg_prop)",2 / INDEX_[ID] * e ^ 4 * s_23 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 2 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_b ^ 2 * ( s_23 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) + ( - 2 ) * i * e ^ 2 * m_b ^ 2 * ( m_b ^ 2 + 1 / 2 * s_34 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
AntiPart d_del_10851(X)  A_\sigma_28625(X)  to  AntiPart d_eps_7421(X)^(*)  AntiPart A_\sigma_28739(X),"Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell d ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart d ( INDEX_[ID] ) , AntiPart OffShell d ( INDEX_[ID] ) ,","1/9*i*e^2*(p_3_%\rho_28166*gamma_{%\sigma_28668,%gam_17106,%eps_7612}*A_{l_10741,+%\sigma_28668}(p_2)*A_{j_10743,+%\rho_28166}(p_4)^(*)*d_{k_10741,%gam_17106}(p_1)_v^(*)*d_{i_10743,%eps_7612}(p_3)_v + 1/2*p_4_%\nu_31099*gamma_{+%\nu_31099,%gam_17132,%gam_17133}*gamma_{%\rho_28166,%gam_17133,%eps_7614}*gamma_{%\sigma_28668,%gam_17109,%gam_17132}*A_{l_10741,+%\sigma_28668}(p_2)*A_{j_10743,+%\rho_28166}(p_4)^(*)*d_{k_10741,%gam_17109}(p_1)_v^(*)*d_{i_10743,%eps_7614}(p_3)_v)/(s_12 + 1/2*reg_prop)",2 / INDEX_[ID] * e ^ 4 * s_14 * s_34 * ( s_12 + 1 / 2 * reg_prop ) ^ ( - 2 ) + - 4 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_d ^ 2 * ( m_d ^ 2 + - 1 / 2 * s_13 ) / ( s_12 + 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_d ^ 2 * ( s_14 + ( - 2 ) * s_34 ) / ( s_12 + 1 / 2 * reg_prop ) ) / ( s_12 + 1 / 2 * reg_prop )
e_alpha_4109(X)^(*)  AntiPart s_eps_4227(X)  to  e_eta_4328(X)  AntiPart s_alpha_4123(X)^(*),"Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:e ( INDEX_[ID] ) , e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{+%\sigma_16389,%eta_4326,%del_4907}*gamma_{%\sigma_16389,%gam_5715,%del_4908}*e_{i_6092,%gam_5715}(p_3)_u^(*)*e_{k_6090,%del_4908}(p_1)_u*s_{l_6090,%eta_4326}(p_2)_v^(*)*s_{j_6092,%del_4907}(p_4)_v/(m_e^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_s ^ 2 + ( - 8 ) * m_s ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_e ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_e ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart mu_eta_202(X)  mu_alpha_160(X)^(*)  to  e_beta_53(X)  AntiPart e_gam_251(X)^(*),"Vertex INDEX_[ID]:e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/2*i*e^2*gamma_{+%\sigma_269,%eta_200,%gam_247}*gamma_{%\sigma_269,%gam_248,%eps_56}*e_{j_33,%eps_56}(p_4)_v*e_{i_33,%gam_248}(p_3)_u^(*)*mu_{k_31,%eta_200}(p_1)_v^(*)*mu_{l_31,%gam_247}(p_2)_u/(m_mu^2 + s_12 + 1/2*reg_prop)",1 / 4 * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_mu ^ 2 + 8 * m_e ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_mu ^ 2 * s_34 ) * ( m_mu ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
e_del_2070(X)^(*)  AntiPart e_eps_1176(X)  to  s_eta_1633(X)  AntiPart s_alpha_1250(X)^(*),"Vertex INDEX_[ID]:s ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{+%\sigma_4706,%eta_1629,%gam_2874}*gamma_{%\sigma_4706,%gam_2875,%eta_1630}*e_{l_1437,%gam_2875}(p_2)_v^(*)*e_{k_1437,%eta_1630}(p_1)_u*s_{i_1449,%eta_1629}(p_3)_u^(*)*s_{j_1429,%gam_2874}(p_4)_v/(m_e^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_s ^ 2 + 8 * m_s ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_e ^ 2 * s_34 ) * ( m_e ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart s_beta_699(X)  s_gam_1172(X)^(*)  to  u_del_839(X)  AntiPart u_eps_756(X)^(*),"Vertex INDEX_[ID]:u ( INDEX_[ID] ) , AntiPart u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/9*i*e^2*gamma_{+%\rho_2724,%eta_1284,%alpha_973}*gamma_{%\rho_2724,%eta_1285,%eps_753}*s_{l_959,%eps_753}(p_2)_u*s_{k_959,%eta_1285}(p_1)_v^(*)*u_{i_961,%eta_1284}(p_3)_u^(*)*u_{j_961,%alpha_973}(p_4)_v/(m_s^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_s ^ 2 * m_u ^ 2 + 8 * m_u ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_s ^ 2 * s_34 ) * ( m_s ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart mu_gam_1866(X)  mu_del_1478(X)^(*)  to  AntiPart s_alpha_1926(X)^(*)  s_beta_1149(X),"Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{%\rho_3980,%eta_2793,%eps_1172}*gamma_{+%\rho_3980,%gam_1874,%del_1486}*s_{i_1464,%eps_1172}(p_3)_v*s_{j_1464,%eta_2793}(p_4)_u^(*)*mu_{k_1462,%gam_1874}(p_1)_v^(*)*mu_{l_1462,%del_1486}(p_2)_u/(m_mu^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_s ^ 2 * m_mu ^ 2 + 8 * m_s ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_mu ^ 2 * s_34 ) * ( m_mu ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
u_alpha_687(X)^(*)  AntiPart u_beta_488(X)  to  AntiPart t_eps_506(X)^(*)  t_eta_914(X),"Vertex INDEX_[ID]:t ( INDEX_[ID] ) , AntiPart t ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:u ( INDEX_[ID] ) , AntiPart u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/3*i*e^2*gamma_{+%\tau_1889,%eta_912,%alpha_701}*gamma_{%\tau_1889,%gam_866,%gam_867}*t_{i_674,%gam_867}(p_3)_v*t_{j_674,%gam_866}(p_4)_u^(*)*u_{k_672,%alpha_701}(p_1)_u*u_{l_672,%eta_912}(p_2)_v^(*)/(m_u^2 + s_12 + 1/2*reg_prop)",1 / 9 * e ^ 4 * ( INDEX_[ID] * m_t ^ 2 * m_u ^ 2 + 8 * m_t ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_u ^ 2 * s_34 ) * ( m_u ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart s_del_7209(X)  AntiPart A_\tau_24698(X)  to  AntiPart s_eps_7587(X)^(*)  A_\mu_23663(X),"Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell s ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , AntiPart OffShell s ( INDEX_[ID] ) ,","1/9*i*e^2*(p_3_%\rho_27789*gamma_{%\sigma_24876,%eta_12940,%eta_12941}*A_{j_9157,+%\rho_27789}(p_4)^(*)*A_{l_9155,+%\sigma_24876}(p_2)*s_{i_9157,%eta_12941}(p_3)_v*s_{k_9155,%eta_12940}(p_1)_v^(*) + 1/2*p_4_%\rho_27791*gamma_{%\rho_27789,%eta_12994,%eta_12946}*gamma_{+%\rho_27791,%eta_12993,%eta_12994}*gamma_{%\sigma_24876,%eta_12945,%eta_12993}*A_{j_9157,+%\rho_27789}(p_4)^(*)*A_{l_9155,+%\sigma_24876}(p_2)*s_{i_9157,%eta_12946}(p_3)_v*s_{k_9155,%eta_12945}(p_1)_v^(*))/(s_12 + 1/2*reg_prop)",2 / INDEX_[ID] * e ^ 4 * s_14 * s_34 * ( s_12 + 1 / 2 * reg_prop ) ^ ( - 2 ) + - 4 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_s ^ 2 * ( m_s ^ 2 + - 1 / 2 * s_13 ) / ( s_12 + 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_s ^ 2 * ( s_14 + ( - 2 ) * s_34 ) / ( s_12 + 1 / 2 * reg_prop ) ) / ( s_12 + 1 / 2 * reg_prop )
mu_eps_275(X)^(*)  AntiPart mu_del_468(X)  to  mu_eps_297(X)  AntiPart mu_eta_669(X)^(*),"Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , AntiPart mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/2*i*e^2*gamma_{+%\lambda_1204,%eta_606,%gam_613}*gamma_{%\lambda_1204,%eta_607,%eps_294}*mu_{l_367,%eta_606}(p_2)_v^(*)*mu_{i_369,%eta_607}(p_3)_u^(*)*mu_{j_369,%gam_613}(p_4)_v*mu_{k_367,%eps_294}(p_1)_u/(m_mu^2 + -s_13 + 1/2*reg_prop)",1 / 4 * e ^ 4 * ( INDEX_[ID] * m_mu ^ 4 + ( - 8 ) * m_mu ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_mu ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_mu ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart tt_beta_699(X)  tt_gam_1533(X)^(*)  to  u_del_1043(X)  AntiPart u_eps_756(X)^(*),"Vertex INDEX_[ID]:AntiPart tt ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:u ( INDEX_[ID] ) , AntiPart u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-2/9*i*e^2*gamma_{+%\sigma_2872,%eta_924,%alpha_769}*gamma_{%\sigma_2872,%gam_1531,%eps_753}*u_{i_961,%eta_924}(p_3)_u^(*)*u_{j_961,%alpha_769}(p_4)_v*tt_{k_959,%gam_1531}(p_1)_v^(*)*tt_{l_959,%eps_753}(p_2)_u/(m_tt^2 + s_12 + 1/2*reg_prop)",4 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_u ^ 2 * m_tt ^ 2 + 8 * m_u ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_tt ^ 2 * s_34 ) * ( m_tt ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart e_eps_5125(X)  tt_eta_5286(X)^(*)  to  AntiPart e_alpha_5037(X)^(*)  tt_beta_4960(X),"Vertex INDEX_[ID]:tt ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/3*i*e^2*gamma_{+%\sigma_20122,%gam_6871,%gam_6872}*gamma_{%\sigma_20122,%gam_6873,%del_5975}*e_{k_7513,%gam_6871}(p_1)_v^(*)*e_{i_7515,%gam_6872}(p_3)_v*tt_{j_7515,%gam_6873}(p_4)_u^(*)*tt_{l_7513,%del_5975}(p_2)_u/(m_e^2 + -s_13 + 1/2*reg_prop)",1 / 9 * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_tt ^ 2 + ( - 8 ) * m_tt ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_e ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_e ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart mu_eta_985(X)  mu_alpha_819(X)^(*)  to  mu_beta_343(X)  AntiPart mu_gam_754(X)^(*),"Vertex INDEX_[ID]:mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , AntiPart mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/2*i*e^2*gamma_{+%\lambda_1482,%eta_922,%eps_396}*gamma_{%\lambda_1482,%eta_923,%gam_727}*mu_{k_395,%eta_922}(p_1)_v^(*)*mu_{i_397,%eta_923}(p_3)_u^(*)*mu_{l_395,%gam_727}(p_2)_u*mu_{j_397,%eps_396}(p_4)_v/(m_mu^2 + -s_23 + 1/2*reg_prop)",1 / 4 * e ^ 4 * ( INDEX_[ID] * m_mu ^ 4 + ( - 8 ) * m_mu ^ 2 * s_14 + ( - 8 ) * m_mu ^ 2 * s_23 + 8 * s_13 * s_24 + 8 * s_12 * s_34 ) * ( m_mu ^ 2 + - s_23 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart e_del_567(X)  e_eps_110(X)^(*)  to  e_eta_244(X)  AntiPart e_alpha_229(X)^(*),"Vertex INDEX_[ID]:e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/2*i*e^2*gamma_{+%\sigma_575,%gam_781,%del_488}*gamma_{%\sigma_575,%gam_782,%gam_783}*e_{l_51,%gam_782}(p_3)_u^(*)*e_{j_41,%gam_781}(p_1)_v^(*)*e_{k_51,%del_488}(p_2)_u*e_{i_63,%gam_783}(p_4)_v/(m_e^2 + s_12 + 1/2*reg_prop)",1 / 4 * e ^ 4 * ( INDEX_[ID] * m_e ^ 4 + 8 * m_e ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_e ^ 2 * s_34 ) * ( m_e ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
tt_alpha_111(X)^(*)  AntiPart tt_beta_39(X)  to  AntiPart e_eps_46(X)^(*)  e_eta_137(X),"Vertex INDEX_[ID]:e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:tt ( INDEX_[ID] ) , AntiPart tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/3*i*e^2*gamma_{+%\sigma_240,%gam_230,%gam_231}*gamma_{%\sigma_240,%gam_232,%del_165}*e_{j_22,%gam_230}(p_4)_u^(*)*e_{i_22,%gam_231}(p_3)_v*tt_{k_20,%del_165}(p_1)_u*tt_{l_20,%gam_232}(p_2)_v^(*)/(m_tt^2 + s_12 + 1/2*reg_prop)",1 / 9 * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_tt ^ 2 + 8 * m_e ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_tt ^ 2 * s_34 ) * ( m_tt ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
u_eta_11872(X)^(*)  b_alpha_9599(X)^(*)  to  u_beta_7889(X)  b_gam_10396(X),"Vertex INDEX_[ID]:b ( INDEX_[ID] ) , b ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:u ( INDEX_[ID] ) , u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/9*i*e^2*gamma_{+%\tau_27209,%eta_11870,%beta_7886}*gamma_{%\tau_27209,%gam_10392,%gam_10393}*b_{j_10357,%gam_10392}(p_4)_u^(*)*b_{l_10355,%gam_10393}(p_2)_u*u_{i_10357,%eta_11870}(p_3)_u^(*)*u_{k_10355,%beta_7886}(p_1)_u/(m_u^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_b ^ 2 * m_u ^ 2 + ( - 8 ) * m_b ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_u ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_u ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
e_del_8386(X)^(*)  AntiPart d_eps_5469(X)  to  e_eta_6668(X)  AntiPart d_alpha_5717(X)^(*),"Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , AntiPart d ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:e ( INDEX_[ID] ) , e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{%\sigma_23155,%gam_12708,%del_8429}*gamma_{+%\sigma_23155,%gam_12709,%del_8430}*d_{j_7686,%del_8430}(p_4)_v*d_{l_7694,%gam_12709}(p_2)_v^(*)*e_{k_7694,%del_8429}(p_1)_u*e_{i_7706,%gam_12708}(p_3)_u^(*)/(m_e^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_d ^ 2 * m_e ^ 2 + ( - 8 ) * m_d ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_e ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_e ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart tt_gam_3772(X)  tt_del_2546(X)^(*)  to  c_eps_1404(X)  AntiPart c_eta_1853(X)^(*),"Vertex INDEX_[ID]:c ( INDEX_[ID] ) , AntiPart c ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart tt ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-2/9*i*e^2*gamma_{+%\sigma_5858,%eta_1849,%beta_1256}*gamma_{%\sigma_5858,%gam_3770,%eta_1850}*c_{i_1785,%eta_1849}(p_3)_u^(*)*c_{j_1785,%beta_1256}(p_4)_v*tt_{k_1783,%gam_3770}(p_1)_v^(*)*tt_{l_1783,%eta_1850}(p_2)_u/(m_tt^2 + s_12 + 1/2*reg_prop)",4 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_c ^ 2 * m_tt ^ 2 + 8 * m_c ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_tt ^ 2 * s_34 ) * ( m_tt ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
A_\rho_4453(X)  A_\sigma_7150(X)  to  u_eps_2638(X)  AntiPart u_eta_5786(X)^(*),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , u ( INDEX_[ID] ) , AntiPart OffShell u ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart u ( INDEX_[ID] ) , OffShell u ( INDEX_[ID] ) ,","-2/9*i*e^2*(p_2_%\tau_6730*gamma_{%\mu_4262,%eta_5742,%eta_5696}*gamma_{%\nu_4523,%eta_5695,%eta_5741}*gamma_{+%\tau_6730,%eta_5741,%eta_5742}*A_{k_1545,+%\mu_4262}(p_1)*A_{l_1545,+%\nu_4523}(p_2)*u_{j_1547,%eta_5696}(p_4)_v*u_{i_1547,%eta_5695}(p_3)_u^(*) + (-2)*p_3_%\nu_4523*gamma_{%\mu_4262,%eta_5704,%eta_5705}*A_{k_1545,+%\mu_4262}(p_1)*A_{l_1545,+%\nu_4523}(p_2)*u_{j_1547,%eta_5705}(p_4)_v*u_{i_1547,%eta_5704}(p_3)_u^(*))/(s_23 + -1/2*reg_prop)",INDEX_[ID] / INDEX_[ID] * e ^ 4 * s_23 * s_24 * ( s_23 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 4 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_u ^ 2 * ( INDEX_[ID] * s_23 + 8 * s_24 ) / ( s_23 + - 1 / 2 * reg_prop ) + ( - INDEX_[ID] ) * i * e ^ 2 * m_u ^ 2 * ( m_u ^ 2 + 1 / 2 * s_34 ) / ( s_23 + - 1 / 2 * reg_prop ) ) / ( s_23 + - 1 / 2 * reg_prop )
AntiPart A_\nu_10040(X)  A_\rho_10395(X)  to  tt_gam_18457(X)  AntiPart tt_del_11137(X)^(*),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , AntiPart OffShell tt ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart tt ( INDEX_[ID] ) , OffShell tt ( INDEX_[ID] ) ,","-2/9*i*e^2*(p_2_%\lambda_8953*gamma_{+%\lambda_8953,%gam_18436,%gam_18437}*gamma_{%\sigma_13387,%gam_18397,%gam_18436}*gamma_{%\tau_10710,%gam_18437,%del_11092}*A_{k_2921,+%\tau_10710}(p_1)*A_{l_2921,+%\sigma_13387}(p_2)*tt_{j_2923,%del_11092}(p_4)_v*tt_{i_2923,%gam_18397}(p_3)_u^(*) + (-2)*p_3_%\sigma_13387*gamma_{%\tau_10710,%gam_18403,%del_11095}*A_{k_2921,+%\tau_10710}(p_1)*A_{l_2921,+%\sigma_13387}(p_2)*tt_{j_2923,%del_11095}(p_4)_v*tt_{i_2923,%gam_18403}(p_3)_u^(*))/(s_23 + -1/2*reg_prop)",INDEX_[ID] / INDEX_[ID] * e ^ 4 * s_23 * s_24 * ( s_23 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 4 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_tt ^ 2 * ( INDEX_[ID] * s_23 + 8 * s_24 ) / ( s_23 + - 1 / 2 * reg_prop ) + ( - INDEX_[ID] ) * i * e ^ 2 * m_tt ^ 2 * ( m_tt ^ 2 + 1 / 2 * s_34 ) / ( s_23 + - 1 / 2 * reg_prop ) ) / ( s_23 + - 1 / 2 * reg_prop )
AntiPart e_eps_6019(X)  AntiPart c_eps_6025(X)  to  AntiPart e_eta_6266(X)^(*)  AntiPart c_alpha_5961(X)^(*),"Vertex INDEX_[ID]:AntiPart c ( INDEX_[ID] ) , AntiPart c ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/3*i*e^2*gamma_{+%\sigma_23837,%eta_6264,%del_7016}*gamma_{%\sigma_23837,%gam_8022,%gam_8023}*c_{l_8936,%eta_6264}(p_2)_v^(*)*c_{j_8938,%del_7016}(p_4)_v*e_{k_8936,%gam_8022}(p_1)_v^(*)*e_{i_8938,%gam_8023}(p_3)_v/(m_e^2 + -s_13 + 1/2*reg_prop)",1 / 9 * e ^ 4 * ( INDEX_[ID] * m_c ^ 2 * m_e ^ 2 + ( - 8 ) * m_c ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_e ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_e ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
mu_del_6464(X)^(*)  s_eps_5651(X)^(*)  to  mu_eta_10311(X)  s_alpha_8035(X),"Vertex INDEX_[ID]:mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:s ( INDEX_[ID] ) , s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{+%\rho_20793,%eta_10307,%eta_10308}*gamma_{%\rho_20793,%gam_8606,%alpha_8032}*s_{j_8001,%gam_8606}(p_4)_u^(*)*s_{l_7999,%alpha_8032}(p_2)_u*mu_{i_8001,%eta_10307}(p_3)_u^(*)*mu_{k_7999,%eta_10308}(p_1)_u/(m_mu^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_s ^ 2 * m_mu ^ 2 + ( - 8 ) * m_s ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_mu ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_mu ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
