Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  AntiPart A_\sigma_4583(X)  to  AntiPart mu_del_2891(X)^(*)  mu_eps_1444(X) : Vertex V_1:A(X_2), mu(X_4), AntiPart  OffShell mu(V_1), Vertex V_0:A(X_1), AntiPart mu(X_3),  OffShell mu(V_0), : -1/2*i*e^2*(p_2_%\sigma_4709*gamma_{%\sigma_4705,%eta_4359,%del_2814}*gamma_{%\sigma_4707,%eta_4333,%eta_4358}*gamma_{+%\sigma_4709,%eta_4358,%eta_4359}*A_{l_775,+%\sigma_4707}(p_2)*A_{k_775,+%\sigma_4705}(p_1)*mu_{j_777,%eta_4333}(p_4)_u^(*)*mu_{i_777,%del_2814}(p_3)_v + (-2)*p_4_%\sigma_4707*gamma_{%\sigma_4705,%eta_4341,%del_2817}*A_{l_775,+%\sigma_4707}(p_2)*A_{k_775,+%\sigma_4705}(p_1)*mu_{j_777,%eta_4341}(p_4)_u^(*)*mu_{i_777,%del_2817}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  AntiPart A_\sigma_4583(X)  to  AntiPart mu_del_2891(X)^(*)  mu_eps_1444(X) : Vertex V_0:A(X_2), AntiPart mu(X_3),  OffShell mu(V_0), Vertex V_1:A(X_1), mu(X_4), AntiPart  OffShell mu(V_1), : 1/2*i*e^2*(p_2_%\rho_2355*gamma_{+%\rho_2355,%eta_4407,%eta_4408}*gamma_{%\sigma_4767,%eta_4378,%eta_4407}*gamma_{%\sigma_4769,%eta_4408,%del_2846}*A_{l_775,+%\sigma_4769}(p_2)*A_{k_775,+%\sigma_4767}(p_1)*mu_{j_777,%eta_4378}(p_4)_u^(*)*mu_{i_777,%del_2846}(p_3)_v + (-2)*p_3_%\sigma_4769*gamma_{%\sigma_4767,%eta_4384,%del_2849}*A_{l_775,+%\sigma_4769}(p_2)*A_{k_775,+%\sigma_4767}(p_1)*mu_{j_777,%eta_4384}(p_4)_u^(*)*mu_{i_777,%del_2849}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  A_\tau_3386(X)  to  t_alpha_2233(X)  AntiPart t_beta_1417(X)^(*) : Vertex V_1:A(X_2), t(X_3), AntiPart  OffShell t(V_1), Vertex V_0:A(X_1), AntiPart t(X_4),  OffShell t(V_0), : -1/2*i*e^2*(p_2_%\rho_3181*gamma_{+%\rho_3181,%gam_5795,%gam_5796}*gamma_{%\tau_3257,%gam_5796,%del_3191}*gamma_{%\tau_3259,%gam_5770,%gam_5795}*A_{k_1065,+%\tau_3257}(p_1)*A_{l_1065,+%\tau_3259}(p_2)*t_{i_1067,%gam_5770}(p_3)_u^(*)*t_{j_1067,%del_3191}(p_4)_v + (-2)*p_3_%\tau_3259*gamma_{%\tau_3257,%gam_5778,%del_3196}*A_{k_1065,+%\tau_3257}(p_1)*A_{l_1065,+%\tau_3259}(p_2)*t_{i_1067,%gam_5778}(p_3)_u^(*)*t_{j_1067,%del_3196}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  A_\tau_3386(X)  to  t_alpha_2233(X)  AntiPart t_beta_1417(X)^(*) : Vertex V_0:A(X_2), AntiPart t(X_4),  OffShell t(V_0), Vertex V_1:A(X_1), t(X_3), AntiPart  OffShell t(V_1), : 1/2*i*e^2*(p_2_%\nu_3164*gamma_{+%\nu_3164,%gam_5846,%gam_5847}*gamma_{%\tau_3300,%gam_5847,%del_3225}*gamma_{%\tau_3302,%gam_5817,%gam_5846}*A_{k_1065,+%\tau_3302}(p_1)*A_{l_1065,+%\tau_3300}(p_2)*t_{i_1067,%gam_5817}(p_3)_u^(*)*t_{j_1067,%del_3225}(p_4)_v + (-2)*p_4_%\tau_3300*gamma_{%\tau_3302,%gam_5823,%del_3228}*A_{k_1065,+%\tau_3302}(p_1)*A_{l_1065,+%\tau_3300}(p_2)*t_{i_1067,%gam_5823}(p_3)_u^(*)*t_{j_1067,%del_3228}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  A_\tau_3386(X)  to  AntiPart t_alpha_2315(X)^(*)  t_beta_1475(X) : Vertex V_1:A(X_2), AntiPart t(X_3),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_4), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\nu_3251*gamma_{+%\nu_3251,%gam_6287,%gam_6288}*gamma_{%\tau_3604,%gam_6256,%gam_6287}*gamma_{%\tau_3606,%gam_6288,%del_3504}*A_{l_1095,+%\tau_3606}(p_2)*A_{k_1095,+%\tau_3604}(p_1)*t_{i_1097,%del_3504}(p_3)_v*t_{j_1097,%gam_6256}(p_4)_u^(*) + (-2)*p_3_%\tau_3606*gamma_{%\tau_3604,%gam_6264,%del_3509}*A_{l_1095,+%\tau_3606}(p_2)*A_{k_1095,+%\tau_3604}(p_1)*t_{i_1097,%del_3509}(p_3)_v*t_{j_1097,%gam_6264}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  A_\tau_3386(X)  to  AntiPart t_alpha_2315(X)^(*)  t_beta_1475(X) : Vertex V_0:A(X_2), t(X_4), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_3),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\mu_2978*gamma_{+%\mu_2978,%gam_6342,%gam_6343}*gamma_{%\tau_3652,%gam_6307,%gam_6342}*gamma_{%\tau_3654,%gam_6343,%del_3534}*A_{l_1095,+%\tau_3652}(p_2)*A_{k_1095,+%\tau_3654}(p_1)*t_{i_1097,%del_3534}(p_3)_v*t_{j_1097,%gam_6307}(p_4)_u^(*) + (-2)*p_4_%\tau_3652*gamma_{%\tau_3654,%gam_6313,%del_3537}*A_{l_1095,+%\tau_3652}(p_2)*A_{k_1095,+%\tau_3654}(p_1)*t_{i_1097,%del_3537}(p_3)_v*t_{j_1097,%gam_6313}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  AntiPart A_\lambda_4181(X)  to  t_del_3885(X)  AntiPart t_eps_1740(X)^(*) : Vertex V_1:A(X_2), AntiPart t(X_4),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_3), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\rho_3349*gamma_{+%\rho_3349,%gam_6791,%gam_6792}*gamma_{%\tau_3976,%gam_6762,%gam_6791}*gamma_{%\tau_3978,%gam_6792,%eps_1684}*A_{k_1129,+%\tau_3976}(p_1)*A_{l_1129,+%\tau_3978}(p_2)*t_{j_1131,%eps_1684}(p_4)_v*t_{i_1131,%gam_6762}(p_3)_u^(*) + (-2)*p_4_%\tau_3978*gamma_{%\tau_3976,%gam_6768,%eps_1687}*A_{k_1129,+%\tau_3976}(p_1)*A_{l_1129,+%\tau_3978}(p_2)*t_{j_1131,%eps_1687}(p_4)_v*t_{i_1131,%gam_6768}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  AntiPart A_\lambda_4181(X)  to  t_del_3885(X)  AntiPart t_eps_1740(X)^(*) : Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_4),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\nu_3371*gamma_{+%\nu_3371,%gam_6848,%gam_6849}*gamma_{%\tau_4019,%gam_6811,%gam_6848}*gamma_{%\tau_4021,%gam_6849,%eps_1713}*A_{k_1129,+%\tau_4021}(p_1)*A_{l_1129,+%\tau_4019}(p_2)*t_{j_1131,%eps_1713}(p_4)_v*t_{i_1131,%gam_6811}(p_3)_u^(*) + (-2)*p_3_%\tau_4019*gamma_{%\tau_4021,%gam_6819,%eps_1716}*A_{k_1129,+%\tau_4021}(p_1)*A_{l_1129,+%\tau_4019}(p_2)*t_{j_1131,%eps_1716}(p_4)_v*t_{i_1131,%gam_6819}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  AntiPart A_\lambda_4181(X)  to  AntiPart t_beta_1595(X)^(*)  t_gam_7423(X) : Vertex V_0:A(X_2), t(X_4), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_3),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\lambda_4227*gamma_{+%\lambda_4227,%gam_7312,%gam_7313}*gamma_{%\tau_4322,%gam_7273,%gam_7312}*gamma_{%\tau_4324,%gam_7313,%del_3984}*A_{k_1159,+%\tau_4324}(p_1)*A_{l_1159,+%\tau_4322}(p_2)*t_{i_1161,%del_3984}(p_3)_v*t_{j_1161,%gam_7273}(p_4)_u^(*) + (-2)*p_4_%\tau_4322*gamma_{%\tau_4324,%gam_7279,%del_3989}*A_{k_1159,+%\tau_4324}(p_1)*A_{l_1159,+%\tau_4322}(p_2)*t_{i_1161,%del_3989}(p_3)_v*t_{j_1161,%gam_7279}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_4031(X)  AntiPart A_\lambda_4181(X)  to  AntiPart t_beta_1595(X)^(*)  t_gam_7423(X) : Vertex V_1:A(X_2), AntiPart t(X_3),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_4), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\sigma_6028*gamma_{+%\sigma_6028,%gam_7366,%gam_7367}*gamma_{%\tau_4366,%gam_7333,%gam_7366}*gamma_{%\tau_4368,%gam_7367,%del_4020}*A_{k_1159,+%\tau_4366}(p_1)*A_{l_1159,+%\tau_4368}(p_2)*t_{i_1161,%del_4020}(p_3)_v*t_{j_1161,%gam_7333}(p_4)_u^(*) + (-2)*p_3_%\tau_4368*gamma_{%\tau_4366,%gam_7339,%del_4023}*A_{k_1159,+%\tau_4366}(p_1)*A_{l_1159,+%\tau_4368}(p_2)*t_{i_1161,%del_4023}(p_3)_v*t_{j_1161,%gam_7339}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  A_\lambda_4402(X)  to  t_gam_7951(X)  AntiPart t_del_4417(X)^(*) : Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_4),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\nu_3518*gamma_{+%\nu_3518,%gam_7840,%gam_7841}*gamma_{%\tau_4669,%gam_7801,%gam_7840}*gamma_{%\tau_4671,%gam_7841,%del_4303}*A_{l_1193,+%\tau_4669}(p_2)*A_{k_1193,+%\tau_4671}(p_1)*t_{j_1195,%del_4303}(p_4)_v*t_{i_1195,%gam_7801}(p_3)_u^(*) + (-2)*p_3_%\tau_4669*gamma_{%\tau_4671,%gam_7807,%del_4306}*A_{l_1193,+%\tau_4669}(p_2)*A_{k_1193,+%\tau_4671}(p_1)*t_{j_1195,%del_4306}(p_4)_v*t_{i_1195,%gam_7807}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  A_\lambda_4402(X)  to  t_gam_7951(X)  AntiPart t_del_4417(X)^(*) : Vertex V_1:A(X_2), AntiPart t(X_4),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_3), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\mu_3197*gamma_{+%\mu_3197,%gam_7894,%gam_7895}*gamma_{%\tau_4720,%gam_7861,%gam_7894}*gamma_{%\tau_4722,%gam_7895,%del_4342}*A_{l_1193,+%\tau_4722}(p_2)*A_{k_1193,+%\tau_4720}(p_1)*t_{j_1195,%del_4342}(p_4)_v*t_{i_1195,%gam_7861}(p_3)_u^(*) + (-2)*p_4_%\tau_4722*gamma_{%\tau_4720,%gam_7867,%del_4345}*A_{l_1193,+%\tau_4722}(p_2)*A_{k_1193,+%\tau_4720}(p_1)*t_{j_1195,%del_4345}(p_4)_v*t_{i_1195,%gam_7867}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  A_\lambda_4402(X)  to  AntiPart t_eps_2084(X)^(*)  t_eta_5272(X) : Vertex V_0:A(X_2), t(X_4), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_3),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\mu_3281*gamma_{+%\mu_3281,%gam_8359,%gam_8360}*gamma_{%\tau_5014,%gam_8324,%gam_8359}*gamma_{%\tau_5016,%gam_8360,%eps_2028}*A_{k_1223,+%\tau_5016}(p_1)*A_{l_1223,+%\tau_5014}(p_2)*t_{j_1225,%gam_8324}(p_4)_u^(*)*t_{i_1225,%eps_2028}(p_3)_v + (-2)*p_4_%\tau_5014*gamma_{%\tau_5016,%gam_8330,%eps_2031}*A_{k_1223,+%\tau_5016}(p_1)*A_{l_1223,+%\tau_5014}(p_2)*t_{j_1225,%gam_8330}(p_4)_u^(*)*t_{i_1225,%eps_2031}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  A_\lambda_4402(X)  to  AntiPart t_eps_2084(X)^(*)  t_eta_5272(X) : Vertex V_1:A(X_2), AntiPart t(X_3),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_4), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\tau_5066*gamma_{%\tau_5062,%gam_8381,%gam_8410}*gamma_{%\tau_5064,%gam_8411,%eps_2064}*gamma_{+%\tau_5066,%gam_8410,%gam_8411}*A_{k_1223,+%\tau_5062}(p_1)*A_{l_1223,+%\tau_5064}(p_2)*t_{j_1225,%gam_8381}(p_4)_u^(*)*t_{i_1225,%eps_2064}(p_3)_v + (-2)*p_3_%\tau_5064*gamma_{%\tau_5062,%gam_8389,%eps_2067}*A_{k_1223,+%\tau_5062}(p_1)*A_{l_1223,+%\tau_5064}(p_2)*t_{j_1225,%gam_8389}(p_4)_u^(*)*t_{i_1225,%eps_2067}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  AntiPart A_\sigma_6297(X)  to  t_del_4841(X)  AntiPart t_eps_2330(X)^(*) : Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_4),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\nu_3696*gamma_{+%\nu_3696,%gam_8865,%gam_8866}*gamma_{%\tau_5413,%gam_8830,%gam_8865}*gamma_{%\tau_5415,%gam_8866,%eps_2274}*A_{k_1257,+%\tau_5415}(p_1)*A_{l_1257,+%\tau_5413}(p_2)*t_{j_1259,%eps_2274}(p_4)_v*t_{i_1259,%gam_8830}(p_3)_u^(*) + (-2)*p_3_%\tau_5413*gamma_{%\tau_5415,%gam_8836,%eps_2277}*A_{k_1257,+%\tau_5415}(p_1)*A_{l_1257,+%\tau_5413}(p_2)*t_{j_1259,%eps_2277}(p_4)_v*t_{i_1259,%gam_8836}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  AntiPart A_\sigma_6297(X)  to  t_del_4841(X)  AntiPart t_eps_2330(X)^(*) : Vertex V_1:A(X_2), AntiPart t(X_4),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_3), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\mu_3397*gamma_{+%\mu_3397,%gam_8916,%gam_8917}*gamma_{%\tau_5464,%gam_8885,%gam_8916}*gamma_{%\tau_5466,%gam_8917,%eps_2309}*A_{k_1257,+%\tau_5464}(p_1)*A_{l_1257,+%\tau_5466}(p_2)*t_{j_1259,%eps_2309}(p_4)_v*t_{i_1259,%gam_8885}(p_3)_u^(*) + (-2)*p_4_%\tau_5466*gamma_{%\tau_5464,%gam_8893,%eps_2312}*A_{k_1257,+%\tau_5464}(p_1)*A_{l_1257,+%\tau_5466}(p_2)*t_{j_1259,%eps_2312}(p_4)_v*t_{i_1259,%gam_8893}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  AntiPart A_\sigma_6297(X)  to  AntiPart t_beta_1819(X)^(*)  t_gam_9491(X) : Vertex V_1:A(X_2), AntiPart t(X_3),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_4), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\sigma_6343*gamma_{+%\sigma_6343,%gam_9374,%gam_9375}*gamma_{%\tau_5752,%gam_9341,%gam_9374}*gamma_{%\tau_5754,%gam_9375,%del_4940}*A_{k_1287,+%\tau_5752}(p_1)*A_{l_1287,+%\tau_5754}(p_2)*t_{j_1289,%gam_9341}(p_4)_u^(*)*t_{i_1289,%del_4940}(p_3)_v + (-2)*p_3_%\tau_5754*gamma_{%\tau_5752,%gam_9347,%del_4945}*A_{k_1287,+%\tau_5752}(p_1)*A_{l_1287,+%\tau_5754}(p_2)*t_{j_1289,%gam_9347}(p_4)_u^(*)*t_{i_1289,%del_4945}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_6143(X)  AntiPart A_\sigma_6297(X)  to  AntiPart t_beta_1819(X)^(*)  t_gam_9491(X) : Vertex V_0:A(X_2), t(X_4), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_3),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\rho_3702*gamma_{+%\rho_3702,%gam_9434,%gam_9435}*gamma_{%\tau_5795,%gam_9395,%gam_9434}*gamma_{%\tau_5797,%gam_9435,%del_4970}*A_{k_1287,+%\tau_5797}(p_1)*A_{l_1287,+%\tau_5795}(p_2)*t_{j_1289,%gam_9395}(p_4)_u^(*)*t_{i_1289,%del_4970}(p_3)_v + (-2)*p_4_%\tau_5795*gamma_{%\tau_5797,%gam_9401,%del_4973}*A_{k_1287,+%\tau_5797}(p_1)*A_{l_1287,+%\tau_5795}(p_2)*t_{j_1289,%gam_9401}(p_4)_u^(*)*t_{i_1289,%del_4973}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_4453(X)  A_\sigma_7150(X)  to  u_eps_2638(X)  AntiPart u_eta_5786(X)^(*) : Vertex V_1:A(X_2), AntiPart u(X_4),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_3), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\mu_4220*gamma_{%\mu_4218,%eta_5617,%eta_5663}*gamma_{+%\mu_4220,%eta_5663,%eta_5664}*gamma_{%\nu_4504,%eta_5664,%eta_5618}*A_{k_1545,+%\mu_4218}(p_1)*A_{l_1545,+%\nu_4504}(p_2)*u_{j_1547,%eta_5618}(p_4)_v*u_{i_1547,%eta_5617}(p_3)_u^(*) + (-2)*p_4_%\nu_4504*gamma_{%\mu_4218,%eta_5626,%eta_5627}*A_{k_1545,+%\mu_4218}(p_1)*A_{l_1545,+%\nu_4504}(p_2)*u_{j_1547,%eta_5627}(p_4)_v*u_{i_1547,%eta_5626}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
