interaction,topology,amplitude,squared_amplitude
"AntiPart u_{G_653,eps_3490}(X)  AntiPart s_{C_3342,eps_3495}(X)  to  AntiPart u_{D_5138,eta_1344}(X)^(*)  AntiPart s_{E_694,alpha_780}(X)^(*)","Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell G(V_1), Vertex V_0:AntiPart u(X_1), AntiPart u(X_3),  OffShell G(V_0),","-1/4*i*g^2*gamma_{+%\tau_3266,%gam_5429,%gam_5430}*gamma_{%\tau_3266,%gam_5431,%del_2187}*(s_{i_1025,%B_659,%gam_5431}(p_2)_v^(*)*s_{k_1029,%G_674,%del_2187}(p_4)_v*u_{j_1029,%B_659,%gam_5430}(p_3)_v*u_{l_1023,%G_674,%gam_5429}(p_1)_v^(*) + -1/3*s_{i_1025,%H_664,%gam_5431}(p_2)_v^(*)*s_{k_1029,%H_664,%del_2187}(p_4)_v*u_{j_1029,%G_675,%gam_5430}(p_3)_v*u_{l_1023,%G_675,%gam_5429}(p_1)_v^(*))/(m_u^2 + -s_13 + 1/2*reg_prop)",-1/144*g^4*((-16)*m_s^2*m_u^2 + 8*m_s^2*s_13 + (-8)*s_14*s_23 + 8*m_u^2*s_24 + (-8)*s_12*s_34)*(m_u^2 + -s_13 + 1/2*reg_prop)^(-2) + 1/16*i*g^2*(i*g^2*((-16)*m_s^2*m_u^2 + 8*m_s^2*s_13 + (-8)*s_14*s_23 + 8*m_u^2*s_24 + (-8)*s_12*s_34)/(m_u^2 + -s_13 + 1/2*reg_prop) + 32/9*i*g^2*(m_s^2*m_u^2 + -1/2*m_s^2*s_13 + 1/2*s_14*s_23 + -1/2*m_u^2*s_24 + 1/2*s_12*s_34)/(m_u^2 + -s_13 + 1/2*reg_prop))/(m_u^2 + -s_13 + 1/2*reg_prop)
AntiPart d_eps_3026(X)  c_eta_3161(X)^(*)  to  AntiPart d_alpha_2913(X)^(*)  c_beta_2802(X),"Vertex V_1:c(X_2), c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),","1/9*i*e^2*gamma_{+%\nu_11216,%eta_3159,%beta_2799}*gamma_{%\nu_11216,%gam_4170,%gam_4171}*c_{j_4201,%eta_3159}(p_4)_u^(*)*c_{l_4199,%beta_2799}(p_2)_u*d_{k_4199,%gam_4170}(p_1)_v^(*)*d_{i_4201,%gam_4171}(p_3)_v/(m_d^2 + -s_13 + 1/2*reg_prop)",1/81*e^4*(16*m_c^2*m_d^2 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_d^2*s_24 + 8*s_12*s_34)*(m_d^2 + -s_13 + 1/2*reg_prop)^(-2)
"c_{C_724,eps_4086}(X)^(*)  G_{b_191,\sigma_5660}(X)  to  c_{D_3229,eta_2228}(X)  AntiPart G_{c_401,\mu_4806}(X)","Vertex V_0:c(X_3), G(X_4), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), G(X_2),  OffShell c(V_1),","-i*g^2*(p_3_%\nu_10116*gamma_{%\sigma_7252,%gam_7851,%eps_6828}*T_C_10_{%e_629,%E_5492,%D_8072}*T_C_10_{%e_630,%D_8072,%F_5933}*G_{k_1650,%e_629,+%\nu_10116}(p_4)^(*)*G_{i_1646,%e_630,+%\sigma_7252}(p_2)*c_{l_1640,%F_5933,%eps_6828}(p_1)_u*c_{j_1646,%E_5492,%gam_7851}(p_3)_u^(*) + 1/2*p_4_%\sigma_7254*gamma_{%\nu_10116,%gam_7854,%gam_7889}*gamma_{%\sigma_7252,%gam_7890,%eps_6830}*gamma_{+%\sigma_7254,%gam_7889,%gam_7890}*T_C_10_{%e_631,%E_5493,%D_8074}*T_C_10_{%e_632,%D_8074,%F_5934}*G_{k_1650,%e_631,+%\nu_10116}(p_4)^(*)*G_{i_1646,%e_632,+%\sigma_7252}(p_2)*c_{l_1640,%F_5934,%eps_6830}(p_1)_u*c_{j_1646,%E_5493,%gam_7854}(p_3)_u^(*))/(s_12 + 1/2*reg_prop)",4/9*g^4*s_14*s_34*(s_12 + 1/2*reg_prop)^(-2) + -8/9*i*g^2*(i*g^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + -1/2*i*g^2*m_c^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
b_alpha_1129(X)^(*)  AntiPart A_\mu_4947(X)  to  b_eta_1496(X)  AntiPart A_\nu_5021(X),"Vertex V_0:b(X_3), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_2),  OffShell b(V_1),","-1/9*i*e^2*(p_3_%\tau_6124*gamma_{%\tau_6126,%gam_3049,%del_1999}*A_{l_1829,+%\tau_6126}(p_2)*A_{j_1831,+%\tau_6124}(p_4)^(*)*b_{i_1831,%gam_3049}(p_3)_u^(*)*b_{k_1829,%del_1999}(p_1)_u + 1/2*p_4_%\lambda_5035*gamma_{+%\lambda_5035,%gam_3081,%gam_3082}*gamma_{%\tau_6124,%gam_3052,%gam_3081}*gamma_{%\tau_6126,%gam_3082,%del_2001}*A_{l_1829,+%\tau_6126}(p_2)*A_{j_1831,+%\tau_6124}(p_4)^(*)*b_{i_1831,%gam_3052}(p_3)_u^(*)*b_{k_1829,%del_2001}(p_1)_u)/(s_12 + 1/2*reg_prop)",2/81*e^4*s_14*s_34*(s_12 + 1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_b^2*(m_b^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + -1/2*i*e^2*m_b^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
"G_{d_262,\sigma_5046}(X)  AntiPart G_{e_102,\lambda_1761}(X)  to  t_{C_290,gam_8615}(X)  AntiPart t_{D_9658,del_8435}(X)^(*)","Vertex V_1:G(X_2), t(X_3), AntiPart  OffShell t(V_1), Vertex V_0:G(X_1), AntiPart t(X_4),  OffShell t(V_0),","-1/2*i*g^2*(p_2_%\nu_2451*gamma_{%\mu_3290,%gam_8557,%del_8370}*gamma_{%\nu_2449,%gam_8523,%gam_8556}*gamma_{+%\nu_2451,%gam_8556,%gam_8557}*T_C_10_{%d_143,%D_11986,%C_216}*T_C_10_{%d_144,%B_2436,%D_11986}*G_{i_457,%d_144,+%\nu_2449}(p_2)*G_{l_451,%d_143,+%\mu_3290}(p_1)*t_{j_445,%B_2436,%gam_8523}(p_3)_u^(*)*t_{k_449,%C_216,%del_8370}(p_4)_v + (-2)*p_3_%\nu_2449*gamma_{%\mu_3290,%gam_8529,%del_8373}*T_C_10_{%d_145,%D_11987,%C_217}*T_C_10_{%d_146,%B_2437,%D_11987}*G_{i_457,%d_146,+%\nu_2449}(p_2)*G_{l_451,%d_145,+%\mu_3290}(p_1)*t_{j_445,%B_2437,%gam_8529}(p_3)_u^(*)*t_{k_449,%C_217,%del_8373}(p_4)_v)/(s_23 + -1/2*reg_prop)",1/6*g^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/48*i*g^2*(i*g^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*g^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
mu_eps_1732(X)^(*)  AntiPart u_gam_1861(X)  to  mu_del_1743(X)  AntiPart u_eps_1745(X)^(*),"Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0), Vertex V_1:AntiPart u(X_2), AntiPart u(X_4),  OffShell A(V_1),","1/3*i*e^2*gamma_{+%\mu_5584,%eta_2367,%eps_1742}*gamma_{%\mu_5584,%eta_2368,%beta_1508}*u_{l_2128,%eta_2368}(p_2)_v^(*)*u_{j_2130,%beta_1508}(p_4)_v*mu_{k_2128,%eps_1742}(p_1)_u*mu_{i_2130,%eta_2367}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop)",1/9*e^4*(16*m_u^2*m_mu^2 + (-8)*m_u^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
"G_{d_48,\sigma_294}(X)  AntiPart G_{e_48,\lambda_230}(X)  to  u_{E_63,eps_24}(X)  AntiPart u_{F_37,eta_96}(X)^(*)","Vertex V_0:G(X_2), u(X_3), AntiPart  OffShell u(V_0), Vertex V_1:G(X_1), AntiPart u(X_4),  OffShell u(V_1),","-1/2*i*g^2*(p_2_%\mu_219*gamma_{+%\mu_219,%gam_308,%gam_309}*gamma_{%\sigma_242,%gam_309,%del_249}*gamma_{%\tau_226,%gam_273,%gam_308}*T_C_10_{%a_135,%A_217,%D_2447}*T_C_10_{%h_163,%D_2447,%B_236}*G_{k_3,%a_135,+%\tau_226}(p_2)*G_{i_3,%h_163,+%\sigma_242}(p_1)*u_{l_3,%A_217,%gam_273}(p_3)_u^(*)*u_{j_5,%B_236,%del_249}(p_4)_v + (-2)*p_3_%\tau_226*gamma_{%\sigma_242,%gam_281,%del_254}*T_C_10_{%a_136,%A_218,%D_2448}*T_C_10_{%h_164,%D_2448,%B_237}*G_{k_3,%a_136,+%\tau_226}(p_2)*G_{i_3,%h_164,+%\sigma_242}(p_1)*u_{l_3,%A_218,%gam_281}(p_3)_u^(*)*u_{j_5,%B_237,%del_254}(p_4)_v)/(s_23 + -1/2*reg_prop)",1/6*g^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/48*i*g^2*(i*g^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*g^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
"AntiPart u_{E_4245,gam_18008}(X)  G_{f_297,\rho_11694}(X)  to  AntiPart u_{F_1872,del_13453}(X)^(*)  G_{g_7165,\sigma_25112}(X)","Vertex V_0:AntiPart u(X_1), G(X_4), AntiPart  OffShell u(V_0), Vertex V_1:G(X_2), AntiPart u(X_3),  OffShell u(V_1),","-i*g^2*(p_1_%\sigma_25031*gamma_{%\tau_12849,%gam_17865,%del_13340}*T_C_10_{%d_271,%D_20112,%D_15899}*T_C_10_{%e_277,%C_10107,%D_20112}*G_{i_4048,%d_271,+%\tau_12849}(p_2)*G_{k_4052,%e_277,+%\sigma_25031}(p_4)^(*)*u_{l_4034,%C_10107,%gam_17865}(p_1)_v^(*)*u_{j_4040,%D_15899,%del_13340}(p_3)_v + -1/2*p_4_%\mu_11020*gamma_{+%\mu_11020,%gam_17907,%gam_17908}*gamma_{%\sigma_25031,%gam_17868,%gam_17907}*gamma_{%\tau_12849,%gam_17908,%del_13342}*T_C_10_{%d_272,%D_20114,%D_15900}*T_C_10_{%e_278,%C_10108,%D_20114}*G_{i_4048,%d_272,+%\tau_12849}(p_2)*G_{k_4052,%e_278,+%\sigma_25031}(p_4)^(*)*u_{l_4034,%C_10108,%gam_17868}(p_1)_v^(*)*u_{j_4040,%D_15900,%del_13342}(p_3)_v)/(s_23 + -1/2*reg_prop)",4/9*g^4*s_14*s_34*(s_23 + -1/2*reg_prop)^(-2) + -8/9*i*g^2*(i*g^2*m_u^2*(m_u^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + -1/16*i*g^2*m_u^2*(16*s_14 + (-8)*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
tt_alpha_1237(X)^(*)  AntiPart c_eps_1389(X)  to  tt_eta_1439(X)  AntiPart c_alpha_1251(X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:tt(X_1), tt(X_3),  OffShell A(V_0),","-2/9*i*e^2*gamma_{+%\sigma_4742,%eta_1437,%del_1494}*gamma_{%\sigma_4742,%gam_2112,%del_1495}*c_{l_1634,%eta_1437}(p_2)_v^(*)*c_{j_1636,%del_1494}(p_4)_v*tt_{i_1636,%gam_2112}(p_3)_u^(*)*tt_{k_1634,%del_1495}(p_1)_u/(m_tt^2 + -s_13 + 1/2*reg_prop)",4/81*e^4*(16*m_c^2*m_tt^2 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_tt^2*s_24 + 8*s_12*s_34)*(m_tt^2 + -s_13 + 1/2*reg_prop)^(-2)
"c_{C_724,eps_4086}(X)^(*)  G_{b_191,\sigma_5660}(X)  to  c_{D_3229,eta_2228}(X)  G_{c_388,\lambda_4307}(X)","Vertex V_1:c(X_1), c(X_3),  OffShell G(V_1), Vertex V_0:G(X_2), G(X_4),  OffShell G(V_0),","-1/2*g*(i*g*p_1_%\nu_7061*gamma_{%\nu_7063,%gam_4977,%eps_3954}*T_C_10_{%g_1378,%E_3104,%D_3230}*T_C_10_{%h_1533,%D_3230,%F_3373}*G_{i_1532,%h_1533,+%\nu_7061}(p_2)*G_{k_1536,%g_1378,+%\nu_7063}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3954}(p_1)_u*c_{j_1536,%E_3104,%gam_4977}(p_3)_u^(*) + -i*g*p_3_%\nu_7061*gamma_{%\nu_7063,%gam_4978,%eps_3955}*T_C_10_{%g_1379,%E_3104,%D_3231}*T_C_10_{%h_1534,%D_3231,%F_3373}*G_{i_1532,%h_1534,+%\nu_7061}(p_2)*G_{k_1536,%g_1379,+%\nu_7063}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3955}(p_1)_u*c_{j_1536,%E_3104,%gam_4978}(p_3)_u^(*) + -i*g*p_1_%\nu_7061*gamma_{%\nu_7063,%gam_4979,%eps_3956}*T_C_10_{%g_1380,%D_3240,%F_3373}*T_C_10_{%h_1535,%E_3104,%D_3240}*G_{i_1532,%h_1535,+%\nu_7061}(p_2)*G_{k_1536,%g_1380,+%\nu_7063}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3956}(p_1)_u*c_{j_1536,%E_3104,%gam_4979}(p_3)_u^(*) + i*g*p_3_%\nu_7061*gamma_{%\nu_7063,%gam_4980,%eps_3957}*T_C_10_{%g_1381,%D_3241,%F_3373}*T_C_10_{%h_1536,%E_3104,%D_3241}*G_{i_1532,%h_1536,+%\nu_7061}(p_2)*G_{k_1536,%g_1381,+%\nu_7063}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3957}(p_1)_u*c_{j_1536,%E_3104,%gam_4980}(p_3)_u^(*) + (-2)*i*g*p_1_%\sigma_5598*gamma_{%\nu_7063,%gam_4981,%eps_3958}*T_C_10_{%g_1382,%E_3104,%D_3232}*T_C_10_{%h_1537,%D_3232,%F_3373}*G_{i_1532,%h_1537,+%\nu_7063}(p_2)*G_{k_1536,%g_1382,+%\sigma_5598}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3958}(p_1)_u*c_{j_1536,%E_3104,%gam_4981}(p_3)_u^(*) + 2*i*g*p_3_%\sigma_5598*gamma_{%\nu_7063,%gam_4982,%eps_3959}*T_C_10_{%g_1383,%E_3104,%D_3233}*T_C_10_{%h_1538,%D_3233,%F_3373}*G_{i_1532,%h_1538,+%\nu_7063}(p_2)*G_{k_1536,%g_1383,+%\sigma_5598}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3959}(p_1)_u*c_{j_1536,%E_3104,%gam_4982}(p_3)_u^(*) + 2*i*g*p_1_%\sigma_5598*gamma_{%\nu_7063,%gam_4985,%eps_3962}*T_C_10_{%g_1386,%D_3242,%F_3373}*T_C_10_{%h_1541,%E_3104,%D_3242}*G_{i_1532,%h_1541,+%\nu_7063}(p_2)*G_{k_1536,%g_1386,+%\sigma_5598}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3962}(p_1)_u*c_{j_1536,%E_3104,%gam_4985}(p_3)_u^(*) + (-2)*i*g*p_3_%\sigma_5598*gamma_{%\nu_7063,%gam_4986,%eps_3963}*T_C_10_{%g_1387,%D_3243,%F_3373}*T_C_10_{%h_1542,%E_3104,%D_3243}*G_{i_1532,%h_1542,+%\nu_7063}(p_2)*G_{k_1536,%g_1387,+%\sigma_5598}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3963}(p_1)_u*c_{j_1536,%E_3104,%gam_4986}(p_3)_u^(*) + i*g*p_4_%\sigma_5598*gamma_{%\nu_7063,%gam_5001,%eps_3978}*T_C_10_{%g_1394,%E_3104,%D_3236}*T_C_10_{%h_1549,%D_3236,%F_3373}*G_{i_1532,%h_1549,+%\nu_7063}(p_2)*G_{k_1536,%g_1394,+%\sigma_5598}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3978}(p_1)_u*c_{j_1536,%E_3104,%gam_5001}(p_3)_u^(*) + -i*g*p_4_%\sigma_5598*gamma_{%\nu_7063,%gam_5002,%eps_3979}*T_C_10_{%g_1395,%D_3246,%F_3373}*T_C_10_{%h_1550,%E_3104,%D_3246}*G_{i_1532,%h_1550,+%\nu_7063}(p_2)*G_{k_1536,%g_1395,+%\sigma_5598}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3979}(p_1)_u*c_{j_1536,%E_3104,%gam_5002}(p_3)_u^(*) + (-2)*i*g*p_4_+%\nu_7063*gamma_{%\nu_7063,%gam_5003,%eps_3980}*T_C_10_{%g_1396,%E_3104,%D_3237}*T_C_10_{%h_1551,%D_3237,%F_3373}*G_{i_1532,%h_1551,%\sigma_5661}(p_2)*G_{k_1536,%g_1396,+%\sigma_5661}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3980}(p_1)_u*c_{j_1536,%E_3104,%gam_5003}(p_3)_u^(*) + 2*i*g*p_4_+%\nu_7063*gamma_{%\nu_7063,%gam_5004,%eps_3981}*T_C_10_{%g_1397,%D_3247,%F_3373}*T_C_10_{%h_1552,%E_3104,%D_3247}*G_{i_1532,%h_1552,%\sigma_5663}(p_2)*G_{k_1536,%g_1397,+%\sigma_5663}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3981}(p_1)_u*c_{j_1536,%E_3104,%gam_5004}(p_3)_u^(*) + i*g*p_4_%\nu_7111*gamma_{%\nu_7063,%gam_5005,%eps_3982}*T_C_10_{%g_1398,%E_3104,%D_3238}*T_C_10_{%h_1553,%D_3238,%F_3373}*G_{i_1532,%h_1553,+%\nu_7111}(p_2)*G_{k_1536,%g_1398,+%\nu_7063}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3982}(p_1)_u*c_{j_1536,%E_3104,%gam_5005}(p_3)_u^(*) + -i*g*p_4_%\nu_7111*gamma_{%\nu_7063,%gam_5006,%eps_3983}*T_C_10_{%g_1398,%D_3248,%F_3373}*T_C_10_{%h_1553,%E_3104,%D_3248}*G_{i_1532,%h_1553,+%\nu_7111}(p_2)*G_{k_1536,%g_1398,+%\nu_7063}(p_4)^(*)*c_{l_1530,%F_3373,%eps_3983}(p_1)_u*c_{j_1536,%E_3104,%gam_5006}(p_3)_u^(*))/(m_c^2 + -s_13 + 1/2*reg_prop)",-1/2304*g^4*(s_13*(128*m_c^2 + (-64)*s_13) + (-1024)*m_c^2*(m_c^2 + -1/2*s_13) + (-224)*m_c^2*(s_14 + s_34))*(m_c^2 + -s_13 + 1/2*reg_prop)^(-2) + -1/2304*i*g^2*(i*g^2*(128*m_c^2 + (-64)*s_13)*s_14/(m_c^2 + -s_13 + 1/2*reg_prop) + 1024*i*g^2*(m_c^2 + -1/2*s_13)*s_14/(m_c^2 + -s_13 + 1/2*reg_prop) + -i*g^2*(128*m_c^2 + (-64)*s_13)*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + (-1024)*i*g^2*(m_c^2 + -1/2*s_13)*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + 576*i*g^2*s_14*s_34/(m_c^2 + -s_13 + 1/2*reg_prop))/(m_c^2 + -s_13 + 1/2*reg_prop) + -4/9*i*g^2*(i*g^2*(m_c^2 + -1/2*s_13)*s_14/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/1024*i*g^2*(128*m_c^2 + (-64)*s_13)*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + 1/2*i*g^2*s_14*s_34/(m_c^2 + -s_13 + 1/2*reg_prop))/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/2304*i*g^2*(i*g^2*((128*m_c^2 + (-64)*s_13)*s_14 + (-1024)*(m_c^2 + -1/2*s_13)*s_34 + 64*s_14*s_34)/(m_c^2 + -s_13 + 1/2*reg_prop) + -i*g^2*(s_13*(128*m_c^2 + (-64)*s_13) + (-1024)*m_c^2*(m_c^2 + -1/2*s_13) + (-224)*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop) + 2*i*g^2*(m_c^2*(128*m_c^2 + (-64)*s_13) + (-1024)*s_13*(m_c^2 + -1/2*s_13) + (-224)*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop))/(m_c^2 + -s_13 + 1/2*reg_prop) + 7/18*i*g^2*(i*g^2*m_c^2*(m_c^2 + s_13)/(m_c^2 + -s_13 + 1/2*reg_prop) + 16/7*i*g^2*(m_c^2 + -1/2*s_13)*s_14/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/448*i*g^2*(128*m_c^2 + (-64)*s_13)*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + 9/7*i*g^2*s_14*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/112*i*g^2*(m_c^2*(128*m_c^2 + (-64)*s_13) + (-1024)*s_13*(m_c^2 + -1/2*s_13) + 128*s_14*s_34 + (-224)*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop) + 1/224*i*g^2*(s_13*(128*m_c^2 + (-64)*s_13) + (-1024)*m_c^2*(m_c^2 + -1/2*s_13) + (-1024)*s_14*s_34 + (-224)*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop) + 8/7*i*g^2*(s_14*s_34 + 7/16*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop) + -i*g^2*(m_c^2*(m_c^2 + s_13) + -1/448*(128*m_c^2 + (-64)*s_13)*s_14 + 16/7*(m_c^2 + -1/2*s_13)*s_34 + -1/7*s_14*s_34 + 1/2*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop))/(m_c^2 + -s_13 + 1/2*reg_prop) + -7/18*i*g^2*(i*g^2*m_c^2*(m_c^2 + s_13)/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/448*i*g^2*(128*m_c^2 + (-64)*s_13)*s_14/(m_c^2 + -s_13 + 1/2*reg_prop) + -16/7*i*g^2*(m_c^2 + -1/2*s_13)*s_14/(m_c^2 + -s_13 + 1/2*reg_prop) + 1/448*i*g^2*(128*m_c^2 + (-64)*s_13)*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + 16/7*i*g^2*(m_c^2 + -1/2*s_13)*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + -17/7*i*g^2*s_14*s_34/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/224*i*g^2*(s_13*(128*m_c^2 + (-64)*s_13) + (-1024)*m_c^2*(m_c^2 + -1/2*s_13) + (-1024)*s_14*s_34 + (-224)*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop) + -i*g^2*(m_c^2*(m_c^2 + s_13) + 1/2*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop) + -1/7*i*g^2*(s_14*s_34 + -7/2*m_c^2*(s_14 + s_34))/(m_c^2 + -s_13 + 1/2*reg_prop))/(m_c^2 + -s_13 + 1/2*reg_prop)
"s_{A_328,alpha_550}(X)^(*)  AntiPart t_{A_333,eps_3231}(X)  to  s_{B_346,eta_1148}(X)  AntiPart t_{C_405,alpha_563}(X)^(*)","Vertex V_1:AntiPart t(X_2), AntiPart t(X_4),  OffShell G(V_1), Vertex V_0:s(X_1), s(X_3),  OffShell G(V_0),","-1/4*i*g^2*gamma_{+%\tau_4768,%eta_1137,%del_1086}*gamma_{%\tau_4768,%gam_4115,%del_1087}*(s_{l_659,%F_397,%del_1087}(p_1)_u*s_{j_665,%H_3000,%gam_4115}(p_3)_u^(*)*t_{i_661,%F_397,%eta_1137}(p_2)_v^(*)*t_{k_665,%H_3000,%del_1086}(p_4)_v + -1/3*s_{l_659,%G_2715,%del_1087}(p_1)_u*s_{j_665,%G_2715,%gam_4115}(p_3)_u^(*)*t_{i_661,%H_3001,%eta_1137}(p_2)_v^(*)*t_{k_665,%H_3001,%del_1086}(p_4)_v)/(m_s^2 + -s_13 + 1/2*reg_prop)",-1/144*g^4*((-16)*m_s^2*m_t^2 + 8*m_t^2*s_13 + (-8)*s_14*s_23 + 8*m_s^2*s_24 + (-8)*s_12*s_34)*(m_s^2 + -s_13 + 1/2*reg_prop)^(-2) + 1/16*i*g^2*(i*g^2*((-16)*m_s^2*m_t^2 + 8*m_t^2*s_13 + (-8)*s_14*s_23 + 8*m_s^2*s_24 + (-8)*s_12*s_34)/(m_s^2 + -s_13 + 1/2*reg_prop) + 32/9*i*g^2*(m_s^2*m_t^2 + -1/2*m_t^2*s_13 + 1/2*s_14*s_23 + -1/2*m_s^2*s_24 + 1/2*s_12*s_34)/(m_s^2 + -s_13 + 1/2*reg_prop))/(m_s^2 + -s_13 + 1/2*reg_prop)
AntiPart s_eps_3109(X)  b_eta_4012(X)^(*)  to  AntiPart s_alpha_3233(X)^(*)  b_beta_2870(X),"Vertex V_1:b(X_2), b(X_4),  OffShell A(V_1), Vertex V_0:AntiPart s(X_1), AntiPart s(X_3),  OffShell A(V_0),","-1/18*i*e^2*gamma_{+%\tau_11273,%eta_4010,%gam_3559}*gamma_{%\tau_11273,%gam_3560,%del_3308}*b_{j_4353,%gam_3560}(p_4)_u^(*)*b_{l_4351,%del_3308}(p_2)_u*s_{k_4351,%eta_4010}(p_1)_v^(*)*s_{i_4353,%gam_3559}(p_3)_v/(m_s^2 + -s_13 + 1/2*reg_prop)",1/324*e^4*(16*m_b^2*m_s^2 + (-8)*m_b^2*s_13 + 8*s_14*s_23 + (-8)*m_s^2*s_24 + 8*s_12*s_34)*(m_s^2 + -s_13 + 1/2*reg_prop)^(-2)
AntiPart t_eta_6871(X)  AntiPart A_\sigma_24800(X)  to  AntiPart t_eps_6600(X)^(*)  AntiPart A_\lambda_24781(X),"Vertex V_1:AntiPart t(X_3), A(X_4),  OffShell t(V_1), Vertex V_0:A(X_2), AntiPart t(X_1), AntiPart  OffShell t(V_0),","i*e^2*(p_3_%\tau_27192*gamma_{%\tau_27190,%gam_10337,%eta_7078}*A_{l_9589,+%\tau_27190}(p_2)*A_{j_9591,+%\tau_27192}(p_4)^(*)*t_{i_9591,%eta_7078}(p_3)_v*t_{k_9589,%gam_10337}(p_1)_v^(*) + 1/2*p_4_%\mu_24538*gamma_{+%\mu_24538,%gam_10363,%gam_10364}*gamma_{%\tau_27190,%gam_10340,%gam_10363}*gamma_{%\tau_27192,%gam_10364,%eta_7080}*A_{l_9589,+%\tau_27190}(p_2)*A_{j_9591,+%\tau_27192}(p_4)^(*)*t_{i_9591,%eta_7080}(p_3)_v*t_{k_9589,%gam_10340}(p_1)_v^(*))/(s_12 + 1/2*reg_prop)",2*e^4*s_14*s_34*(s_12 + 1/2*reg_prop)^(-2) + (-4)*i*e^2*(i*e^2*m_t^2*(m_t^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + -1/2*i*e^2*m_t^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
